# 放一些总是被检测工具识别为不可播放其实可播放的源
cdn6,#genre#
新疆卫视,http://113.118.133.195:9999/rtp/239.77.0.75:5146
新疆卫视,http://113.118.133.195:9999/rtp/239.77.1.25:5146
新疆卫视,http://113.118.133.195:9999/rtp/239.253.43.202:5146
西藏卫视,http://113.118.133.195:9999/rtp/239.77.0.46:5146
西藏卫视,http://113.118.133.195:9999/rtp/239.77.0.74:5146
西藏卫视,http://113.118.133.195:9999/rtp/239.77.1.26:5146
兵团卫视,http://113.118.133.195:9999/rtp/239.77.0.48:5146
兵团卫视,http://113.118.133.195:9999/rtp/239.77.0.77:5146
兵团卫视,http://113.118.133.195:9999/rtp/239.77.1.29:5146
三沙卫视,http://113.118.133.195:9999/rtp/239.77.1.117:5146
三沙卫视,http://113.118.133.195:9999/rtp/239.253.43.113:5146
延边卫视,http://113.118.133.195:9999/rtp/239.77.0.10:5146
延边卫视,http://113.118.133.195:9999/rtp/239.77.1.99:5146
金鹰卡通,http://113.118.133.195:9999/rtp/239.77.0.164:5146
金鹰卡通,http://113.118.133.195:9999/rtp/239.77.1.52:5146
嘉佳卡通,http://113.118.133.195:9999/rtp/239.77.1.15:5146
嘉佳卡通,http://113.118.133.195:9999/rtp/239.77.0.179:5146
卡酷少儿,http://113.118.133.195:9999/rtp/239.77.0.79:5146
卡酷少儿,http://113.118.133.195:9999/rtp/239.77.1.50:5146
山东教育卫视,http://113.118.133.195:9999/rtp/239.77.1.35:5146
重庆汽摩,http://113.118.133.195:9999/rtp/239.77.0.209:5146
重庆汽摩,http://113.118.133.195:9999/rtp/239.77.1.205:5146
优漫卡通,http://113.118.133.195:9999/rtp/239.77.0.222:5146
优漫卡通,http://113.118.133.195:9999/rtp/239.77.1.79:5146
财富天下,http://113.118.133.195:9999/rtp/239.77.0.113:5146
睛彩竞技,http://113.118.133.195:9999/rtp/239.77.1.20:5146
睛彩广场舞,http://113.118.133.195:9999/rtp/239.77.1.23:5146
睛彩篮球,http://113.118.133.195:9999/rtp/239.77.1.21:5146
睛彩青少,http://113.118.133.195:9999/rtp/239.77.1.22:5146
兵团卫视,http://113.118.133.195:9999/rtp/239.77.1.107:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.1.189:5146
广东珠江,http://113.118.133.195:9999/rtp/239.77.0.1:5146
广东珠江,http://113.118.133.195:9999/rtp/239.77.1.94:5146
广东珠江,http://113.118.133.195:9999/rtp/239.77.0.114:5146
广东新闻,http://113.118.133.195:9999/rtp/239.77.0.173:5146
广东影视,http://113.118.133.195:9999/rtp/239.77.0.217:5146
广东民生,http://113.118.133.195:9999/rtp/239.77.0.225:5146
广东少儿,http://113.118.133.195:9999/rtp/239.77.0.250:5146
广东现代教育,http://113.118.133.195:9999/rtp/239.77.0.213:5146
广东经济科教,http://113.118.133.195:9999/rtp/239.77.0.85:5146
广东经济科教,http://113.118.133.195:9999/rtp/239.77.0.167:5146
岭南戏曲,http://113.118.133.195:9999/rtp/239.77.0.122:5146
广东体育,http://113.118.133.195:9999/rtp/239.77.0.112:5146
广东体育,http://113.118.133.195:9999/rtp/239.77.0.168:5146
广东体育,http://113.118.133.195:9999/rtp/239.77.1.97:5146
